seed,network,n_outskirts,osm_inner_km,osm_outer_km,osm_cache_dir,fleet_size,capacity,service_end_time,placement,intensity,base_rate,structural_zero_prob,announce_lead_min,arrival_buffer_min,dispatcher,n_regions,rebalance_interval_min,forecast_lookahead_min,collect_to,scorer_path,scorer_mode,scorer_top_k,scorer_filter_logit_threshold,assignment_rate,n_assigned,n_requests,mean_wall_ms,median_wall_ms,p95_wall_ms,max_wall_ms,total_wall_s,n_active,mean_route_length,total_deployment_min,runtime_s
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.9861111111111112,213,216,2.004995202662906,1.9298329716548324,2.7810935862362385,3.6723751109093428,0.43307896377518773,102,1.775,304356.9422584884,0.43751920806244016
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.9842931937172775,376,382,10.162247054727446,10.708083515055478,17.654158634832125,18.840999924577773,3.8819783749058843,156,3.1333333333333333,308500.81719026575,3.886660457937978
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.9659685863874345,369,382,1.3746385650309436,1.029792008921504,1.9532500358764062,12.45675003156066,0.5251119318418205,240,3.075,311126.4900167196,0.5304763750173151
11,memphis_osm,25,8.0,40.0,data/osm_cache,240,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.9842931937172775,376,382,2.2404647812598353,1.9924995140172541,3.422070870874449,13.554165954701602,0.855857546441257,158,3.1333333333333333,308603.22818512516,0.8611651249229908
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.944954128440367,103,109,2.021099340358595,1.9874590216204524,3.5851250868290663,3.705749986693263,0.22029982809908688,57,3.433333333333333,78113.1840203985,0.2251215410651639
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.8990825688073395,98,109,0.7223887657404903,0.32462505623698235,3.2466251635923977,3.444083034992218,0.07874037546571344,60,3.2666666666666666,78010.73028174137,0.08287395897787064
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,1.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.944954128440367,103,109,0.702744663838263,0.5019999807700515,1.5576416393741954,3.833667025901377,0.07659916835837066,58,3.433333333333333,78160.15456688218,0.08084449998568743
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,,rank,3,-2.0,0.5384615384615384,147,273,4.763208134372756,5.617166054435074,6.668059015646577,6.87604199629277,1.3003558206837624,60,4.9,78561.84510951185,1.304580167052336
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,rank,5,-2.0,0.4358974358974359,119,273,2.7569457095443877,4.311416996642947,4.6961082611233,4.996999981813133,0.7526461787056178,60,3.966666666666667,78352.07631598001,0.7578361249761656
23,memphis_osm,25,8.0,40.0,data/osm_cache,60,6,1440.0,hubs,3.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,,/Users/jose/Developer/git/hierarchical_coordination/outputs/learning/scorer.pt,filter,3,-4.0,0.5311355311355311,145,273,3.5595482431911614,1.5611249255016446,7.165633421391249,8.72095802333206,0.9717566703911871,60,4.833333333333333,78505.36493210135,0.9768939999630675
