seed,network,n_outskirts,osm_inner_km,osm_outer_km,osm_cache_dir,fleet_size,capacity,service_end_time,placement,intensity,base_rate,structural_zero_prob,announce_lead_min,arrival_buffer_min,dispatcher,n_regions,rebalance_interval_min,forecast_lookahead_min,assignment_rate,n_assigned,n_requests,mean_wall_ms,median_wall_ms,p95_wall_ms,max_wall_ms,total_wall_s,n_active,mean_route_length,total_deployment_min,runtime_s
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.7522321428571429,337,448,4.4613081265976815,4.186520469374955,8.917718764860183,9.16954199783504,1.9986660407157615,112,5.616666666666666,156587.6671016422,2.003963000024669
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,4,30.0,60.0,0.7589285714285714,340,448,4.1158616246061035,3.249124565627426,8.603708044392988,8.944666013121605,1.8439060078235343,114,5.666666666666667,156602.59989037327,1.8493013330735266
23,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.7790178571428571,349,448,2.9485730977155202,2.4811664479784667,6.577479554107413,7.076125009916723,1.320960747776553,115,5.816666666666666,156621.8398100203,1.3262332919985056
37,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.922077922077922,355,385,10.727371420868515,10.110792005434632,19.202400231733918,50.7310830289498,4.130037997034378,120,5.916666666666667,157156.3183825013,4.135675917030312
37,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,1,30.0,60.0,0.922077922077922,355,385,10.681437050572947,10.387124959379435,19.238799810409546,21.238834015093744,4.112353264470585,120,5.916666666666667,157156.3183825013,4.117464624927379
37,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,2,30.0,60.0,0.9194805194805195,354,385,6.157275874397488,6.153500056825578,12.302508018910885,13.670500018633902,2.3705512116430327,110,5.9,156394.4996254475,2.375742792035453
37,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,3,30.0,60.0,0.9012987012987013,347,385,4.840504419203702,4.62174997664988,9.020083537325261,9.714500047266483,1.8635942013934255,106,5.783333333333333,156195.49643879695,1.8687295840354636
37,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,4,30.0,60.0,0.9168831168831169,353,385,3.566625564927598,3.161542001180351,8.736499957740307,10.626500006765127,1.3731508424971253,105,5.883333333333334,155930.94874101764,1.3780637090094388
37,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,hierarchical,5,30.0,60.0,0.9168831168831169,353,385,2.786877152340656,2.26395798381418,6.313800392672419,7.466458948329091,1.0729477036511526,107,5.883333333333334,156083.51782395624,1.0780439589871094
53,memphis_osm,25,8.0,40.0,data/osm_cache,120,6,1440.0,hubs,5.0,0.4,0.4,90.0,15.0,monolithic,5,30.0,60.0,0.6059907834101382,263,434,7.525705344264701,8.803666511084884,10.892968688858673,13.131916988641024,3.26615611941088,120,4.383333333333334,157370.78054145037,3.2719195829704404
